Transaction_ID,Sender,Receiver,Amount,Timestamp,Risk_Score
T001,W004,W019,937.96,2025-09-26 10:28,0.82
T002,W013,W011,208.58,2025-09-19 07:07,0.65
T003,W004,W020,261.06,2025-09-22 18:27,0.3
T004,W013,W007,935.6,2025-09-17 19:59,0.0
T005,W020,W002,875.24,2025-09-04 22:53,0.54
T006,W016,W018,726.29,2025-09-28 13:05,0.07
T007,W010,W015,633.16,2025-09-01 00:04,0.16
T008,W011,W001,219.53,2025-09-26 00:25,0.39
T009,W012,W019,825.99,2025-09-22 17:42,0.31
T010,W012,W001,602.83,2025-09-26 02:26,0.61
T011,W001,W015,99.15,2025-09-25 22:32,0.89
T012,W001,W014,804.21,2025-09-14 03:01,0.15
T013,W005,W019,454.05,2025-09-20 18:23,0.94
T014,W014,W017,893.39,2025-09-25 01:56,0.43
T015,W012,W015,926.63,2025-09-11 07:56,0.74
T016,W012,W003,860.8,2025-09-11 02:43,0.68
T017,W019,W002,344.31,2025-09-23 23:55,0.29
T018,W007,W018,603.08,2025-09-14 05:59,0.09
T019,W007,W002,323.6,2025-09-13 04:54,0.74
T020,W009,W014,965.68,2025-09-27 05:38,0.49
T021,W004,W006,33.72,2025-09-18 11:55,0.67
T022,W013,W010,438.36,2025-09-06 22:33,0.15
T023,W004,W015,600.21,2025-09-08 15:32,0.63
T024,W005,W016,556.19,2025-09-19 00:35,0.95
T025,W007,W011,947.01,2025-09-01 05:47,0.04
T026,W002,W017,373.0,2025-09-06 13:56,0.49
T027,W004,W013,790.63,2025-09-07 01:14,0.19
T028,W006,W010,774.65,2025-09-17 12:37,0.41
T029,W017,W019,57.59,2025-09-12 11:33,0.22
T030,W011,W012,629.64,2025-09-25 19:04,0.56
T031,W006,W003,487.86,2025-09-09 23:46,0.06
T032,W006,W005,866.58,2025-09-15 08:26,0.47
T033,W010,W016,202.43,2025-09-17 07:55,0.31
T034,W008,W006,696.53,2025-09-23 16:56,0.58
T035,W006,W011,805.32,2025-09-28 06:37,1.0
T036,W003,W005,773.44,2025-09-14 05:42,0.55
T037,W018,W005,521.62,2025-09-21 21:06,0.88
T038,W004,W006,853.47,2025-09-23 20:44,0.21
T039,W002,W004,798.51,2025-09-28 01:05,0.77
T040,W008,W016,408.57,2025-09-22 15:00,0.81
